,Column,Selected feature,Feature ranking
0,0,False,346
1,1,False,751
2,2,False,378
3,3,False,234
4,4,False,833
5,5,False,766
6,6,False,595
7,7,False,639
8,8,False,1034
9,9,False,183
10,10,False,1120
11,11,False,891
12,12,False,151
13,13,False,573
14,14,False,343
15,15,False,219
16,16,False,562
17,17,True,1
18,18,False,954
19,19,False,944
20,20,False,461
21,21,False,561
22,22,False,988
23,23,False,577
24,24,False,719
25,25,False,92
26,26,False,519
27,27,False,867
28,28,False,738
29,29,False,380
30,30,False,1004
31,31,False,935
32,32,False,722
33,33,False,862
34,34,False,880
35,35,False,420
36,36,False,300
37,37,False,184
38,38,False,323
39,39,False,727
40,40,False,648
41,41,False,418
42,42,False,890
43,43,False,200
44,44,False,815
45,45,False,1045
46,46,False,698
47,47,False,589
48,48,False,1058
49,49,False,917
50,50,False,624
51,51,False,781
52,52,False,922
53,53,False,409
54,54,False,427
55,55,False,607
56,56,False,403
57,57,False,441
58,58,False,358
59,59,False,277
60,60,False,677
61,61,False,195
62,62,False,936
63,63,False,925
64,64,False,345
65,65,False,363
66,66,False,787
67,67,False,989
68,68,False,937
69,69,False,723
70,70,False,580
71,71,False,591
72,72,False,11
73,73,True,1
74,74,False,660
75,75,False,953
76,76,False,545
77,77,False,557
78,78,False,503
79,79,False,122
80,80,False,920
81,81,False,372
82,82,False,826
83,83,False,686
84,84,False,622
85,85,False,578
86,86,False,996
87,87,False,428
88,88,False,594
89,89,False,375
90,90,False,357
91,91,False,386
92,92,False,364
93,93,False,760
94,94,False,805
95,95,False,285
96,96,False,176
97,97,False,214
98,98,False,856
99,99,False,532
100,100,False,442
101,101,False,590
102,102,False,980
103,103,False,1014
104,104,False,916
105,105,False,724
106,106,False,201
107,107,False,316
108,108,False,551
109,109,False,90
110,110,False,1057
111,111,False,529
112,112,False,966
113,113,False,483
114,114,False,45
115,115,False,481
116,116,False,803
117,117,False,568
118,118,False,1043
119,119,False,482
120,120,False,1006
121,121,False,233
122,122,False,528
123,123,False,322
124,124,False,260
125,125,True,1
126,126,False,804
127,127,False,119
128,128,False,604
129,129,False,600
130,130,True,1
131,131,False,685
132,132,False,662
133,133,False,750
134,134,False,749
135,135,False,246
136,136,False,120
137,137,False,785
138,138,False,908
139,139,False,400
140,140,False,474
141,141,False,530
142,142,False,202
143,143,False,683
144,144,False,186
145,145,False,555
146,146,False,240
147,147,False,802
148,148,False,476
149,149,False,278
150,150,False,437
151,151,False,957
152,152,False,847
153,153,False,289
154,154,True,1
155,155,False,124
156,156,False,623
157,157,True,1
158,158,False,292
159,159,False,39
160,160,False,199
161,161,False,711
162,162,False,100
163,163,False,812
164,164,True,1
165,165,False,649
166,166,False,617
167,167,True,1
168,168,True,1
169,169,False,72
170,170,False,682
171,171,False,193
172,172,False,814
173,173,False,813
174,174,False,1027
175,175,False,897
176,176,False,311
177,177,False,297
178,178,False,215
179,179,False,1047
180,180,False,192
181,181,False,741
182,182,False,115
183,183,False,786
184,184,False,661
185,185,False,508
186,186,False,74
187,187,False,440
188,188,False,844
189,189,False,103
190,190,False,89
191,191,False,247
192,192,False,1023
193,193,False,491
194,194,False,315
195,195,False,858
196,196,False,295
197,197,False,990
198,198,False,159
199,199,False,742
200,200,False,574
201,201,False,563
202,202,True,1
203,203,False,892
204,204,True,1
205,205,False,302
206,206,False,1039
207,207,False,853
208,208,True,1
209,209,False,213
210,210,False,156
211,211,False,653
212,212,False,500
213,213,False,398
214,214,False,317
215,215,False,969
216,216,False,730
217,217,True,1
218,218,False,1025
219,219,False,78
220,220,False,158
221,221,False,1011
222,222,True,1
223,223,False,337
224,224,False,249
225,225,False,1053
226,226,False,332
227,227,False,576
228,228,False,767
229,229,False,731
230,230,False,312
231,231,False,497
232,232,False,419
233,233,False,382
234,234,False,241
235,235,True,1
236,236,True,1
237,237,False,794
238,238,False,12
239,239,False,8
240,240,False,44
241,241,False,301
242,242,False,40
243,243,False,793
244,244,False,866
245,245,False,163
246,246,True,1
247,247,True,1
248,248,False,31
249,249,False,188
250,250,False,439
251,251,True,1
252,252,False,338
253,253,False,771
254,254,False,205
255,255,False,689
256,256,False,170
257,257,False,164
258,258,False,296
259,259,False,340
260,260,False,341
261,261,True,1
262,262,False,33
263,263,True,1
264,264,False,37
265,265,False,502
266,266,False,154
267,267,False,692
268,268,False,848
269,269,False,861
270,270,False,356
271,271,False,484
272,272,False,462
273,273,False,550
274,274,False,153
275,275,False,220
276,276,False,974
277,277,False,116
278,278,False,658
279,279,False,463
280,280,False,298
281,281,False,121
282,282,False,171
283,283,True,1
284,284,False,330
285,285,False,567
286,286,False,904
287,287,False,408
288,288,False,895
289,289,False,879
290,290,False,305
291,291,False,691
292,292,False,83
293,293,True,1
294,294,False,641
295,295,False,362
296,296,False,703
297,297,False,288
298,298,False,383
299,299,True,1
300,300,False,81
301,301,False,243
302,302,False,396
303,303,True,1
304,304,False,125
305,305,False,541
306,306,False,42
307,307,False,250
308,308,False,394
309,309,False,538
310,310,True,1
311,311,False,680
312,312,False,141
313,313,False,17
314,314,False,446
315,315,False,829
316,316,False,88
317,317,False,902
318,318,False,196
319,319,False,477
320,320,False,110
321,321,False,95
322,322,False,155
323,323,True,1
324,324,False,149
325,325,False,967
326,326,False,64
327,327,False,613
328,328,False,850
329,329,False,140
330,330,False,575
331,331,True,1
332,332,False,770
333,333,False,426
334,334,False,355
335,335,False,34
336,336,False,281
337,337,False,524
338,338,False,887
339,339,True,1
340,340,False,251
341,341,True,1
342,342,False,63
343,343,False,1083
344,344,False,896
345,345,True,1
346,346,False,721
347,347,False,720
348,348,False,162
349,349,False,453
350,350,False,353
351,351,False,732
352,352,False,187
353,353,False,328
354,354,False,216
355,355,True,1
356,356,False,642
357,357,False,217
358,358,False,365
359,359,False,82
360,360,False,565
361,361,False,204
362,362,False,306
363,363,False,211
364,364,False,142
365,365,True,1
366,366,False,67
367,367,False,835
368,368,False,876
369,369,False,733
370,370,False,792
371,371,False,84
372,372,False,825
373,373,False,376
374,374,False,203
375,375,False,1030
376,376,False,98
377,377,False,764
378,378,False,993
379,379,False,126
380,380,False,851
381,381,False,882
382,382,False,725
383,383,False,797
384,384,False,114
385,385,False,798
386,386,False,421
387,387,False,424
388,388,False,1063
389,389,False,76
390,390,False,707
391,391,False,1033
392,392,False,546
393,393,False,687
394,394,False,713
395,395,False,1068
396,396,False,674
397,397,False,310
398,398,True,1
399,399,False,1079
400,400,False,965
401,401,False,225
402,402,False,185
403,403,False,160
404,404,False,1055
405,405,False,173
406,406,False,619
407,407,False,628
408,408,False,910
409,409,False,614
410,410,True,1
411,411,False,949
412,412,False,633
413,413,False,542
414,414,False,106
415,415,False,206
416,416,False,655
417,417,False,1048
418,418,False,127
419,419,False,651
420,420,False,599
421,421,False,432
422,422,False,673
423,423,False,261
424,424,True,1
425,425,False,817
426,426,False,221
427,427,False,694
428,428,False,905
429,429,False,99
430,430,False,1051
431,431,True,1
432,432,False,994
433,433,False,956
434,434,False,579
435,435,False,981
436,436,True,1
437,437,False,740
438,438,False,1067
439,439,False,693
440,440,False,105
441,441,False,77
442,442,False,194
443,443,False,1072
444,444,True,1
445,445,False,150
446,446,False,180
447,447,False,950
448,448,False,147
449,449,True,1
450,450,True,1
451,451,False,413
452,452,False,971
453,453,False,46
454,454,False,228
455,455,False,516
456,456,False,139
457,457,False,137
458,458,False,344
459,459,False,975
460,460,False,109
461,461,False,1081
462,462,False,582
463,463,False,449
464,464,True,1
465,465,False,1019
466,466,False,645
467,467,False,668
468,468,False,393
469,469,False,618
470,470,False,1010
471,471,False,1021
472,472,False,513
473,473,False,1190
474,474,False,638
475,475,False,772
476,476,False,554
477,477,False,19
478,478,False,55
479,479,True,1
480,480,False,663
481,481,True,1
482,482,False,117
483,483,False,329
484,484,False,175
485,485,False,209
486,486,False,845
487,487,False,800
488,488,False,899
489,489,False,634
490,490,True,1
491,491,True,1
492,492,True,1
493,493,True,1
494,494,False,775
495,495,False,626
496,496,False,761
497,497,False,962
498,498,False,511
499,499,True,1
500,500,False,198
501,501,False,244
502,502,False,636
503,503,False,801
504,504,False,898
505,505,False,23
506,506,False,135
507,507,False,458
508,508,False,385
509,509,False,492
510,510,False,307
511,511,False,273
512,512,False,587
513,513,False,1020
514,514,False,525
515,515,False,423
516,516,False,212
517,517,False,536
518,518,False,257
519,519,False,174
520,520,False,1026
521,521,False,118
522,522,False,436
523,523,False,1064
524,524,False,401
525,525,False,535
526,526,False,222
527,527,True,1
528,528,False,373
529,529,False,152
530,530,False,647
531,531,False,104
532,532,False,182
533,533,False,388
534,534,False,267
535,535,False,169
536,536,False,181
537,537,False,136
538,538,True,1
539,539,False,681
540,540,True,1
541,541,False,706
542,542,False,627
543,543,False,560
544,544,False,370
545,545,True,1
546,546,False,85
547,547,False,559
548,548,False,1056
549,549,False,603
550,550,False,62
551,551,False,254
552,552,False,387
553,553,False,501
554,554,False,700
555,555,True,1
556,556,True,1
557,557,True,1
558,558,False,384
559,559,False,1080
560,560,False,229
561,561,False,48
562,562,False,57
563,563,False,762
564,564,False,778
565,565,False,637
566,566,False,652
567,567,True,1
568,568,False,646
569,569,False,496
570,570,False,1036
571,571,True,1
572,572,False,471
573,573,False,656
574,574,False,325
575,575,False,699
576,576,False,754
577,577,False,597
578,578,False,808
579,579,True,1
580,580,False,570
581,581,False,911
582,582,False,776
583,583,False,888
584,584,False,284
585,585,False,146
586,586,False,777
587,587,False,906
588,588,False,671
589,589,False,654
590,590,False,2
591,591,False,518
592,592,False,429
593,593,False,431
594,594,False,1007
595,595,False,611
596,596,False,932
597,597,False,430
598,598,False,547
599,599,False,470
600,600,False,507
601,601,False,326
602,602,False,157
603,603,False,588
604,604,False,451
605,605,False,1041
606,606,False,1076
607,607,False,836
608,608,False,759
609,609,False,625
610,610,False,670
611,611,False,237
612,612,False,657
613,613,False,359
614,614,False,22
615,615,False,283
616,616,True,1
617,617,True,1
618,618,False,1066
619,619,False,342
620,620,False,806
621,621,False,909
622,622,False,1052
623,623,False,512
624,624,False,242
625,625,False,347
626,626,True,1
627,627,False,399
628,628,False,601
629,629,False,227
630,630,True,1
631,631,False,612
632,632,False,411
633,633,False,207
634,634,False,737
635,635,False,736
636,636,False,161
637,637,False,868
638,638,False,684
639,639,False,714
640,640,False,709
641,641,False,831
642,642,False,610
643,643,False,841
644,644,False,799
645,645,False,871
646,646,False,716
647,647,False,1029
648,648,False,443
649,649,False,478
650,650,False,1049
651,651,False,821
652,652,False,635
653,653,False,947
654,654,False,774
655,655,False,522
656,656,False,643
657,657,False,93
658,658,False,951
659,659,False,210
660,660,False,807
661,661,False,165
662,662,False,239
663,663,False,608
664,664,False,1098
665,665,False,415
666,666,False,878
