,Column,Selected feature,Feature ranking
0,0,False,264
1,1,False,669
2,2,False,296
3,3,False,152
4,4,False,751
5,5,False,684
6,6,False,513
7,7,False,557
8,8,False,952
9,9,False,101
10,10,False,1038
11,11,False,809
12,12,False,69
13,13,False,491
14,14,False,261
15,15,False,137
16,16,False,480
17,17,True,1
18,18,False,872
19,19,False,862
20,20,False,379
21,21,False,479
22,22,False,906
23,23,False,495
24,24,False,637
25,25,False,10
26,26,False,437
27,27,False,785
28,28,False,656
29,29,False,298
30,30,False,922
31,31,False,853
32,32,False,640
33,33,False,780
34,34,False,798
35,35,False,338
36,36,False,218
37,37,False,102
38,38,False,241
39,39,False,645
40,40,False,566
41,41,False,336
42,42,False,808
43,43,False,118
44,44,False,733
45,45,False,963
46,46,False,616
47,47,False,507
48,48,False,976
49,49,False,835
50,50,False,542
51,51,False,699
52,52,False,840
53,53,False,327
54,54,False,345
55,55,False,525
56,56,False,321
57,57,False,359
58,58,False,276
59,59,False,195
60,60,False,595
61,61,False,113
62,62,False,854
63,63,False,843
64,64,False,263
65,65,False,281
66,66,False,705
67,67,False,907
68,68,False,855
69,69,False,641
70,70,False,498
71,71,False,509
72,72,True,1
73,73,True,1
74,74,False,578
75,75,False,871
76,76,False,463
77,77,False,475
78,78,False,421
79,79,False,40
80,80,False,838
81,81,False,290
82,82,False,744
83,83,False,604
84,84,False,540
85,85,False,496
86,86,False,914
87,87,False,346
88,88,False,512
89,89,False,293
90,90,False,275
91,91,False,304
92,92,False,282
93,93,False,678
94,94,False,723
95,95,False,203
96,96,False,94
97,97,False,132
98,98,False,774
99,99,False,450
100,100,False,360
101,101,False,508
102,102,False,898
103,103,False,932
104,104,False,834
105,105,False,642
106,106,False,119
107,107,False,234
108,108,False,469
109,109,False,8
110,110,False,975
111,111,False,447
112,112,False,884
113,113,False,401
114,114,True,1
115,115,False,399
116,116,False,721
117,117,False,486
118,118,False,961
119,119,False,400
120,120,False,924
121,121,False,151
122,122,False,446
123,123,False,240
124,124,False,178
125,125,True,1
126,126,False,722
127,127,False,37
128,128,False,522
129,129,False,518
130,130,True,1
131,131,False,603
132,132,False,580
133,133,False,668
134,134,False,667
135,135,False,164
136,136,False,38
137,137,False,703
138,138,False,826
139,139,False,318
140,140,False,392
141,141,False,448
142,142,False,120
143,143,False,601
144,144,False,104
145,145,False,473
146,146,False,158
147,147,False,720
148,148,False,394
149,149,False,196
150,150,False,355
151,151,False,875
152,152,False,765
153,153,False,207
154,154,True,1
155,155,False,42
156,156,False,541
157,157,True,1
158,158,False,210
159,159,True,1
160,160,False,117
161,161,False,629
162,162,False,18
163,163,False,730
164,164,True,1
165,165,False,567
166,166,False,535
167,167,True,1
168,168,True,1
169,169,True,1
170,170,False,600
171,171,False,111
172,172,False,732
173,173,False,731
174,174,False,945
175,175,False,815
176,176,False,229
177,177,False,215
178,178,False,133
179,179,False,965
180,180,False,110
181,181,False,659
182,182,False,33
183,183,False,704
184,184,False,579
185,185,False,426
186,186,True,1
187,187,False,358
188,188,False,762
189,189,False,21
190,190,False,7
191,191,False,165
192,192,False,941
193,193,False,409
194,194,False,233
195,195,False,776
196,196,False,213
197,197,False,908
198,198,False,77
199,199,False,660
200,200,False,492
201,201,False,481
202,202,True,1
203,203,False,810
204,204,True,1
205,205,False,220
206,206,False,957
207,207,False,771
208,208,True,1
209,209,False,131
210,210,False,74
211,211,False,571
212,212,False,418
213,213,False,316
214,214,False,235
215,215,False,887
216,216,False,648
217,217,True,1
218,218,False,943
219,219,True,1
220,220,False,76
221,221,False,929
222,222,True,1
223,223,False,255
224,224,False,167
225,225,False,971
226,226,False,250
227,227,False,494
228,228,False,685
229,229,False,649
230,230,False,230
231,231,False,415
232,232,False,337
233,233,False,300
234,234,False,159
235,235,True,1
236,236,True,1
237,237,False,712
238,238,True,1
239,239,True,1
240,240,True,1
241,241,False,219
242,242,True,1
243,243,False,711
244,244,False,784
245,245,False,81
246,246,True,1
247,247,True,1
248,248,True,1
249,249,False,106
250,250,False,357
251,251,True,1
252,252,False,256
253,253,False,689
254,254,False,123
255,255,False,607
256,256,False,88
257,257,False,82
258,258,False,214
259,259,False,258
260,260,False,259
261,261,True,1
262,262,True,1
263,263,True,1
264,264,True,1
265,265,False,420
266,266,False,72
267,267,False,610
268,268,False,766
269,269,False,779
270,270,False,274
271,271,False,402
272,272,False,380
273,273,False,468
274,274,False,71
275,275,False,138
276,276,False,892
277,277,False,34
278,278,False,576
279,279,False,381
280,280,False,216
281,281,False,39
282,282,False,89
283,283,True,1
284,284,False,248
285,285,False,485
286,286,False,822
287,287,False,326
288,288,False,813
289,289,False,797
290,290,False,223
291,291,False,609
292,292,True,1
293,293,True,1
294,294,False,559
295,295,False,280
296,296,False,621
297,297,False,206
298,298,False,301
299,299,True,1
300,300,True,1
301,301,False,161
302,302,False,314
303,303,True,1
304,304,False,43
305,305,False,459
306,306,True,1
307,307,False,168
308,308,False,312
309,309,False,456
310,310,True,1
311,311,False,598
312,312,False,59
313,313,True,1
314,314,False,364
315,315,False,747
316,316,False,6
317,317,False,820
318,318,False,114
319,319,False,395
320,320,False,28
321,321,False,13
322,322,False,73
323,323,True,1
324,324,False,67
325,325,False,885
326,326,True,1
327,327,False,531
328,328,False,768
329,329,False,58
330,330,False,493
331,331,True,1
332,332,False,688
333,333,False,344
334,334,False,273
335,335,True,1
336,336,False,199
337,337,False,442
338,338,False,805
339,339,True,1
340,340,False,169
341,341,True,1
342,342,True,1
343,343,False,1001
344,344,False,814
345,345,True,1
346,346,False,639
347,347,False,638
348,348,False,80
349,349,False,371
350,350,False,271
351,351,False,650
352,352,False,105
353,353,False,246
354,354,False,134
355,355,True,1
356,356,False,560
357,357,False,135
358,358,False,283
359,359,True,1
360,360,False,483
361,361,False,122
362,362,False,224
363,363,False,129
364,364,False,60
365,365,True,1
366,366,True,1
367,367,False,753
368,368,False,794
369,369,False,651
370,370,False,710
371,371,False,2
372,372,False,743
373,373,False,294
374,374,False,121
375,375,False,948
376,376,False,16
377,377,False,682
378,378,False,911
379,379,False,44
380,380,False,769
381,381,False,800
382,382,False,643
383,383,False,715
384,384,False,32
385,385,False,716
386,386,False,339
387,387,False,342
388,388,False,981
389,389,True,1
390,390,False,625
391,391,False,951
392,392,False,464
393,393,False,605
394,394,False,631
395,395,False,986
396,396,False,592
397,397,False,228
398,398,True,1
399,399,False,997
400,400,False,883
401,401,False,143
402,402,False,103
403,403,False,78
404,404,False,973
405,405,False,91
406,406,False,537
407,407,False,546
408,408,False,828
409,409,False,532
410,410,True,1
411,411,False,867
412,412,False,551
413,413,False,460
414,414,False,24
415,415,False,124
416,416,False,573
417,417,False,966
418,418,False,45
419,419,False,569
420,420,False,517
421,421,False,350
422,422,False,591
423,423,False,179
424,424,True,1
425,425,False,735
426,426,False,139
427,427,False,612
428,428,False,823
429,429,False,17
430,430,False,969
431,431,True,1
432,432,False,912
433,433,False,874
434,434,False,497
435,435,False,899
436,436,True,1
437,437,False,658
438,438,False,985
439,439,False,611
440,440,False,23
441,441,True,1
442,442,False,112
443,443,False,990
444,444,True,1
445,445,False,68
446,446,False,98
447,447,False,868
448,448,False,65
449,449,True,1
450,450,True,1
451,451,False,331
452,452,False,889
453,453,True,1
454,454,False,146
455,455,False,434
456,456,False,57
457,457,False,55
458,458,False,262
459,459,False,893
460,460,False,27
461,461,False,999
462,462,False,500
463,463,False,367
464,464,True,1
465,465,False,937
466,466,False,563
467,467,False,586
468,468,False,311
469,469,False,536
470,470,False,928
471,471,False,939
472,472,False,431
473,473,False,1108
474,474,False,556
475,475,False,690
476,476,False,472
477,477,True,1
478,478,True,1
479,479,True,1
480,480,False,581
481,481,True,1
482,482,False,35
483,483,False,247
484,484,False,93
485,485,False,127
486,486,False,763
487,487,False,718
488,488,False,817
489,489,False,552
490,490,True,1
491,491,True,1
492,492,True,1
493,493,True,1
494,494,False,693
495,495,False,544
496,496,False,679
497,497,False,880
498,498,False,429
499,499,True,1
500,500,False,116
501,501,False,162
502,502,False,554
503,503,False,719
504,504,False,816
505,505,True,1
506,506,False,53
507,507,False,376
508,508,False,303
509,509,False,410
510,510,False,225
511,511,False,191
512,512,False,505
513,513,False,938
514,514,False,443
515,515,False,341
516,516,False,130
517,517,False,454
518,518,False,175
519,519,False,92
520,520,False,944
521,521,False,36
522,522,False,354
523,523,False,982
524,524,False,319
525,525,False,453
526,526,False,140
527,527,True,1
528,528,False,291
529,529,False,70
530,530,False,565
531,531,False,22
532,532,False,100
533,533,False,306
534,534,False,185
535,535,False,87
536,536,False,99
537,537,False,54
538,538,True,1
539,539,False,599
540,540,True,1
541,541,False,624
542,542,False,545
543,543,False,478
544,544,False,288
