,Column,Selected feature,Feature ranking
0,0,False,197
1,1,False,602
2,2,False,229
3,3,False,85
4,4,False,684
5,5,False,617
6,6,False,446
7,7,False,490
8,8,False,885
9,9,False,34
10,10,False,962
11,11,False,742
12,12,False,2
13,13,False,424
14,14,False,194
15,15,False,70
16,16,False,413
17,17,True,1
18,18,False,805
19,19,False,806
20,20,False,312
21,21,False,412
22,22,False,839
23,23,False,428
24,24,False,570
25,25,True,1
26,26,False,370
27,27,False,718
28,28,False,589
29,29,False,231
30,30,False,855
31,31,False,786
32,32,False,573
33,33,False,713
34,34,False,731
35,35,False,271
36,36,False,151
37,37,False,35
38,38,False,174
39,39,False,578
40,40,False,499
41,41,False,269
42,42,False,741
43,43,False,51
44,44,False,666
45,45,False,896
46,46,False,549
47,47,False,440
48,48,False,909
49,49,False,768
50,50,False,475
51,51,False,632
52,52,False,773
53,53,False,260
54,54,False,278
55,55,False,458
56,56,False,254
57,57,False,292
58,58,False,209
59,59,False,128
60,60,False,528
61,61,False,46
62,62,False,787
63,63,False,776
64,64,False,196
65,65,False,214
66,66,False,638
67,67,False,840
68,68,False,788
69,69,False,574
70,70,False,431
71,71,False,442
72,72,True,1
73,73,True,1
74,74,False,511
75,75,False,804
76,76,False,396
77,77,False,408
78,78,False,354
79,79,True,1
80,80,False,771
81,81,False,223
82,82,False,677
83,83,False,537
84,84,False,473
85,85,False,429
86,86,False,847
87,87,False,279
88,88,False,445
89,89,False,226
90,90,False,208
91,91,False,237
92,92,False,215
93,93,False,611
94,94,False,656
95,95,False,136
96,96,False,27
97,97,False,65
98,98,False,707
99,99,False,383
100,100,False,293
101,101,False,441
102,102,False,831
103,103,False,865
104,104,False,767
105,105,False,575
106,106,False,52
107,107,False,167
108,108,False,402
109,109,True,1
110,110,False,908
111,111,False,380
112,112,False,817
113,113,False,334
114,114,True,1
115,115,False,332
116,116,False,654
117,117,False,419
118,118,False,894
119,119,False,333
120,120,False,857
121,121,False,84
122,122,False,379
123,123,False,173
124,124,False,111
125,125,True,1
126,126,False,655
127,127,True,1
128,128,False,455
129,129,False,451
130,130,True,1
131,131,False,536
132,132,False,513
133,133,False,601
134,134,False,600
135,135,False,97
136,136,True,1
137,137,False,636
138,138,False,759
139,139,False,251
140,140,False,325
141,141,False,381
142,142,False,53
143,143,False,534
144,144,False,37
145,145,False,406
146,146,False,91
147,147,False,653
148,148,False,327
149,149,False,129
150,150,False,288
151,151,False,808
152,152,False,698
153,153,False,140
154,154,True,1
155,155,True,1
156,156,False,474
157,157,True,1
158,158,False,143
159,159,True,1
160,160,False,50
161,161,False,562
162,162,True,1
163,163,False,663
164,164,True,1
165,165,False,500
166,166,False,468
167,167,True,1
168,168,True,1
169,169,True,1
170,170,False,533
171,171,False,44
172,172,False,665
173,173,False,664
174,174,False,878
175,175,False,748
176,176,False,162
177,177,False,148
178,178,False,66
179,179,False,898
180,180,False,43
181,181,False,592
182,182,True,1
183,183,False,637
184,184,False,512
185,185,False,359
186,186,True,1
187,187,False,291
188,188,False,695
189,189,True,1
190,190,True,1
191,191,False,98
192,192,False,874
193,193,False,342
194,194,False,166
195,195,False,709
196,196,False,146
197,197,False,841
198,198,False,10
199,199,False,593
200,200,False,425
201,201,False,414
202,202,True,1
203,203,False,743
204,204,True,1
205,205,False,153
206,206,False,890
207,207,False,704
208,208,True,1
209,209,False,64
210,210,False,7
211,211,False,504
212,212,False,351
213,213,False,249
214,214,False,168
215,215,False,820
216,216,False,581
217,217,True,1
218,218,False,876
219,219,True,1
220,220,False,9
221,221,False,862
222,222,True,1
223,223,False,188
224,224,False,100
225,225,False,904
226,226,False,183
227,227,False,427
228,228,False,618
229,229,False,582
230,230,False,163
231,231,False,348
232,232,False,270
233,233,False,233
234,234,False,92
235,235,True,1
236,236,True,1
237,237,False,645
238,238,True,1
239,239,True,1
240,240,True,1
241,241,False,152
242,242,True,1
243,243,False,644
244,244,False,717
245,245,False,14
246,246,True,1
247,247,True,1
248,248,True,1
249,249,False,39
250,250,False,290
251,251,True,1
252,252,False,189
253,253,False,622
254,254,False,56
255,255,False,540
256,256,False,21
257,257,False,15
258,258,False,147
259,259,False,191
260,260,False,192
261,261,True,1
262,262,True,1
263,263,True,1
264,264,True,1
265,265,False,353
266,266,False,5
267,267,False,543
268,268,False,699
269,269,False,712
270,270,False,207
271,271,False,335
272,272,False,313
273,273,False,401
274,274,False,4
275,275,False,71
276,276,False,825
277,277,True,1
278,278,False,509
279,279,False,314
280,280,False,149
281,281,True,1
282,282,False,22
283,283,True,1
284,284,False,181
285,285,False,418
286,286,False,755
287,287,False,259
288,288,False,746
289,289,False,730
290,290,False,156
291,291,False,542
292,292,True,1
293,293,True,1
294,294,False,492
295,295,False,213
296,296,False,554
297,297,False,139
298,298,False,234
299,299,True,1
300,300,True,1
301,301,False,94
302,302,False,247
303,303,True,1
304,304,True,1
305,305,False,392
306,306,True,1
307,307,False,101
308,308,False,245
309,309,False,389
310,310,True,1
311,311,False,531
312,312,True,1
313,313,True,1
314,314,False,297
315,315,False,680
316,316,True,1
317,317,False,753
318,318,False,47
319,319,False,328
320,320,True,1
321,321,True,1
322,322,False,6
323,323,True,1
324,324,True,1
325,325,False,818
326,326,True,1
327,327,False,464
328,328,False,701
329,329,True,1
330,330,False,426
331,331,True,1
332,332,False,621
333,333,False,277
334,334,False,206
335,335,True,1
336,336,False,132
337,337,False,375
338,338,False,738
339,339,True,1
340,340,False,102
341,341,True,1
342,342,True,1
343,343,False,934
344,344,False,747
345,345,True,1
346,346,False,572
347,347,False,571
348,348,False,13
349,349,False,304
350,350,False,204
351,351,False,583
352,352,False,38
353,353,False,179
354,354,False,67
355,355,True,1
356,356,False,493
357,357,False,68
358,358,False,216
359,359,True,1
360,360,False,416
361,361,False,55
362,362,False,157
363,363,False,62
364,364,True,1
365,365,True,1
366,366,True,1
367,367,False,686
368,368,False,727
369,369,False,584
370,370,False,643
371,371,True,1
372,372,False,676
373,373,False,227
374,374,False,54
375,375,False,881
376,376,True,1
377,377,False,615
378,378,False,844
379,379,True,1
380,380,False,702
381,381,False,733
382,382,False,576
383,383,False,648
384,384,True,1
385,385,False,649
386,386,False,272
387,387,False,275
388,388,False,914
389,389,True,1
390,390,False,558
391,391,False,884
392,392,False,397
393,393,False,538
394,394,False,564
395,395,False,919
396,396,False,525
397,397,False,161
398,398,True,1
399,399,False,930
400,400,False,816
401,401,False,76
402,402,False,36
403,403,False,11
404,404,False,906
405,405,False,24
406,406,False,470
407,407,False,479
408,408,False,761
409,409,False,465
410,410,True,1
411,411,False,800
412,412,False,484
413,413,False,393
414,414,True,1
415,415,False,57
416,416,False,506
417,417,False,899
418,418,True,1
419,419,False,502
420,420,False,450
421,421,False,283
422,422,False,524
423,423,False,112
424,424,True,1
425,425,False,668
426,426,False,72
427,427,False,545
428,428,False,756
429,429,True,1
430,430,False,902
431,431,True,1
432,432,False,845
433,433,False,807
434,434,False,430
435,435,False,832
436,436,True,1
437,437,False,591
438,438,False,918
439,439,False,544
440,440,True,1
441,441,True,1
442,442,False,45
443,443,False,923
444,444,True,1
445,445,True,1
446,446,False,31
447,447,False,801
448,448,True,1
449,449,True,1
450,450,True,1
451,451,False,264
452,452,False,822
453,453,True,1
454,454,False,79
455,455,False,367
456,456,True,1
457,457,True,1
458,458,False,195
459,459,False,826
460,460,True,1
461,461,False,932
462,462,False,433
463,463,False,300
464,464,True,1
465,465,False,870
466,466,False,496
467,467,False,519
468,468,False,244
469,469,False,469
470,470,False,861
471,471,False,872
472,472,False,364
473,473,False,1041
474,474,False,489
475,475,False,623
476,476,False,405
477,477,True,1
478,478,True,1
479,479,True,1
480,480,False,514
481,481,True,1
482,482,True,1
483,483,False,180
484,484,False,26
485,485,False,60
486,486,False,696
487,487,False,651
488,488,False,750
489,489,False,485
490,490,True,1
491,491,True,1
492,492,True,1
493,493,True,1
494,494,False,626
495,495,False,477
496,496,False,612
497,497,False,813
498,498,False,362
499,499,True,1
500,500,False,49
501,501,False,95
502,502,False,487
503,503,False,652
504,504,False,749
505,505,True,1
506,506,True,1
507,507,False,309
508,508,False,236
509,509,False,343
510,510,False,158
511,511,False,124
512,512,False,438
513,513,False,871
514,514,False,376
515,515,False,274
516,516,False,63
517,517,False,387
518,518,False,108
519,519,False,25
520,520,False,877
521,521,True,1
522,522,False,287
523,523,False,915
524,524,False,252
525,525,False,386
526,526,False,73
527,527,True,1
528,528,False,224
529,529,False,3
530,530,False,498
531,531,True,1
532,532,False,33
